0.13 Patch,Weight (KG),Rub price,Damage,Accuracy (%),Recoil (%),Penetration Value,Projectile Count,Projectile Speed (m/s),Penetration Chance,Ricochet Chance,Fragmentation Chance,Armor Damage (%),HeatFactor,DurabilityBurnModificator
.45 ACP Match FMJ,0.015,83,72,0,0,25,1,340,0.16,0.065,0.01,36,-0.37%,0%
.45 ACP AP,0.015,725,66,-5,7,38,1,299,0.29,0.1,0.01,48,23.00%,70%
.45 ACP Hydra-Shok,0.017,99,100,0,0,13,1,274,0.13,0.065,0.5,30,13.78%,10%
.45 ACP Lasermatch FMJ,0.015,87,76,10,0,19,1,290,0.16,0.065,0.01,37,10.70%,20%
.45 ACP RIP,0.019,401,130,-5,0,3,1,293,0.02,0.002,1,12,16.85%,50%
,,,,,,,,,,,,,,
12.7x108 mm B-32,0.133,820,182,0,0,88,1,818,0.75,0.38,0.17,88,0.00%,0%
12.7x108 mm BZT-44M,0.128,980,199,0,0,80,1,818,0.75,0.38,0.17,95,0.00%,0%
,,,,,,,,,,,,,,й
12.7x55 mm PS12,0.07,340,115,10,0,28,1,285,0.6,0.4,0.3,60,138.45%,40%
12.7x55 mm PS12A,0.044,280,165,-15,-12,10,1,290,0.1,0.2,0.7,22,113.35%,0%
12.7x55 mm PS12B,0.055,2275,102,0,15,46,1,300,0.8,0.5,0.3,57,151.00%,80%
,,,,,,,,,,,,,,
12/70 7 mm Buckshot,0.05,30,39,0,0,3,8,415,0.02,0,0,26,103.31%,0%
12/70 5.25 mm Buckshot,0.044,35,37,0,0,1,8,330,0.02,0,0,15,100.80%,0%
"12/70 6.5 mm ""Express"" Buckshot",0.048,39,35,15,0,3,9,430,0.02,0,0,26,125.90%,0%
"12/70 8.5 mm ""Magnum"" Buckshot",0.059,50,50,-15,115,2,8,385,0.05,0,0,26,145.98%,0%
12/70 Dual Sabot Slug,0.05,68,85,100,15,17,2,415,0.25,0.1,0.1,65,113.35%,50%
12/70 Flechette,0.04,187,25,-10,0,31,8,320,0.3,0,0,26,115.86%,60%
12/70 RIP,0.04,302,265,80,35,2,1,410,0,0.01,1,11,138.45%,60%
12/70 Led slug,0.05,56,167,120,0,15,1,370,0.2,0.1,0.2,55,110.84%,50%
12/70 shell with .50 BMG bullet,0.055,124,197,90,25,26,1,410,0.28,0.1,0.05,57,151.00%,100%
12/70 AP-20 Slug,0.05,342,164,80,50,37,1,510,0.36,0.1,0.03,65,148.49%,120%
12/70 FTX Custom LIte Slug,0.026,71,183,135,-25,20,1,480,0.28,0.1,0.1,50,118.37%,50%
12/70 Grizzly 40 Slug,0.055,66,190,80,20,12,1,390,0.2,0.1,0.12,48,102.06%,0%
12/70 HP Slug Copper Sabot Premier,0.043,82,206,150,10,14,1,442,0.22,0.1,0.38,46,105.82%,50%
"12/70 ""Poleva-3"" Slug",0.044,51,140,110,-15,17,1,410,0.17,0.1,0.2,40,108.33%,50%
"12/70 ""Poleva-6u"" Slug",0.048,68,150,115,-10,20,1,430,0.2,0.1,0.15,50,135.94%,60%
"12/70 HP Slug ""SuperFormance""",0.034,192,220,170,-15,5,1,594,0.05,0.1,0.39,12,104.57%,20%
,,,,,,,,,,,,,,
20/70 7.5 mm Buckshot,0.04,24,25,0,0,3,8,430,0.02,0,0,14,92.95%,35%
20/70 5.6 mm Buckshot,0.028,20,26,-10,10,1,8,340,0.02,0,0,12,81.60%,0%
20/70 6.2 mm Buckshot,0.032,30,22,0,0,2,8,410,0.02,0,0,13,83.87%,0%
20/70 7.3 mm Buckshot,0.032,38,23,0,15,3,9,475,0.02,0,0,13,95.22%,30%
20/70 Devastator Slug,0.029,180,198,125,30,5,1,405,0.05,0.1,1,13,104.30%,50%
"20/70 Slug ""Poleva-3""",0.029,48,120,110,-15,14,1,425,0.15,0.1,0.2,35,106.57%,50%
20/70 Slug Poleva-6u,0.032,65,135,110,-10,17,1,445,0.2,0.1,0.15,40,124.73%,80%
20/70 Star Slug,0.034,81,154,130,5,16,1,415,0.17,0.1,0.1,42,127.00%,80%
,,,,,,,,,,,,,,
"23x75 mm ""Barrikada"" slug",0.08,256,192,-5,25,39,1,420,0.6,0.4,0.2,75,232.50%,170%
"23x75 mm ""Shrapnel-10"" buckshot",0.08,78,87,0,0,11,8,270,0.12,0.2,0,20,180.00%,0%
"23x75 mm ""Shrapnel-25"" buckshot",0.08,96,78,20,10,10,8,375,0.1,0.2,0,20,197.50%,80%
"23x75 mm ""Zvezda"" flashbang round",0.07,980,0,0,20,0,1,80,0.6,0.4,0.3,0,250.00%,300%
,,,,,,,,,,,,,,
.366 ТКМ EKO,0.01,65,73,-10,-15,30,1,770,0.15,0.1,0.2,40,81.60%,0%
.366 ТКМ FMJ,0.016,42,98,0,10,23,1,580,0.12,0.065,0.25,48,83.87%,0%
.366 ТКМ Geksa,0.016,57,110,0,0,14,1,550,0.12,0.05,0.45,38,104.30%,35%
.366 TKM AP-M,0.019,463,90,-28,35,42,1,602,0.3,0.065,0.01,60,127.00%,90%
,,,,,,,,,,,,,,
40 mm VOG-25 grenade,0.255,6750,199,0,0,0,1,76,0,0,0,68,0.00%,0%
,,,,,,,,,,,,,,
40x46 mm M381 (HE) grenade,0.23,17125,199,0,0,1,1,76,0,0,0,95,0.00%,0%
40x46 mm M386 (HE) grenade,0.23,5600,199,0,0,1,1,76,0,0,0,95,0.00%,0%
40x46 mm M406 (HE) grenade,0.23,7700,199,15,-10,1,1,76,0,0,0,95,0.00%,0%
40x46 mm M433 (HEDP) grenade,0.23,10538,199,0,0,1,1,76,0,0,0,95,0.00%,0%
40x46 mm M441 (HE) grenade,0.23,21250,199,0,0,1,1,76,0,0,0,95,0.00%,0%
40x46 mm M576 (MP-APERS) grenade,0.12,256,160,100,0,5,15,269,0.02,0,0,95,0.00%,0%
,,,,,,,,,,,,,,
4.6x30 mm Action SX,0.007,98,65,0,0,18,1,690,0.2,0.3,0.5,39,-1.00%,0%
4.6x30 mm AP SX,0.007,1275,35,0,10,53,1,680,0.6,0.6,0.1,46,10.00%,50%
4.6x30 mm FMJ SX,0.007,124,43,0,0,40,1,620,0.4,0.4,0.2,41,0.00%,0%
4.6x30 mm Subsonic SX,0.01,162,45,10,-22,36,1,290,0.3,0.5,0.2,46,-12.00%,-20%
,,,,,,,,,,,,,,
"5.45x39 mm 7N39 ""Igolnik""",0.011,1810,37,0,15,62,1,905,0.8,0.38,0.02,55,77.00%,70%
5.45x39 mm 7N40,0.011,2122,52,50,-20,44,1,915,0.65,0.3,0.02,50,75.23%,35%
5.45x39 mm BP,0.01,129,45,0,0,37,1,890,0.72,0.36,0.16,41,59.30%,35%
5.45x39 mm BS,0.01,950,40,-3,10,52,1,830,0.75,0.38,0.17,57,69.92%,45%
5.45x39 mm BT,0.01,240,42,-2,3,42,1,880,0.66,0.37,0.164,35,68.15%,50%
5.45x39 mm FMJ,0.01,36,56,0,0,21,1,884,0.51,0.26,0.25,30,43.37%,0%
5.45x39 mm HP,0.01,68,74,0,5,12,1,884,0.48,0.2,0.35,20,41.60%,0%
5.45x39 mm PP,0.01,108,44,0,0,36,1,886,0.66,0.38,0.17,38,53.99%,20%
5.45x39 mm PRS,0.01,46,60,0,-5,12,1,866,0.51,0.04,0.3,28,50.45%,15%
5.45x39 mm PS,0.01,74,48,0,0,31,1,890,0.7,0.4,0.4,35,48.68%,10%
5.45x39 mm SP,0.01,60,68,10,-15,13,1,873,0.4,0.15,0.45,34,45.14%,0%
5.45x39 mm T,0.01,40,57,-5,-5,20,1,883,0.54,0.4,0.16,38,52.22%,15%
5.45x39 mm US,0.01,79,65,0,-25,15,1,303,0.45,0.4,0.1,34,32.75%,-20%
,,,,,,,,,,,,,,
